id,id_kabupaten_kota,kecamatan,deleted
651,52,MEDAN BARAT,F
652,24,SIMUK,F
653,43,PALIPI,F
654,37,PADANG SIDEMPUAN TENGGARA,F
655,24,MAZO,F
656,38,TAMPAHAN,F
657,50,KABANJAHE,F
658,51,MORO\O,F
659,39,PINANGSORI,F
660,50,TIGANDERKET,F
661,46,SINEMBAH TANJUNG MUDA HILIR,F
662,26,TANAH PINEM,F
663,36,KOTA PINANG,F
664,25,PUNCAK SORIK MARAPI / MERAPI,F
665,29,HARANGGAOL HORISON,F
666,43,ONAN RUNGGU,F
667,38,BONATUA LUNASI,F
668,46,LABUHAN DELI,F
669,46,SUNGGAL,F
670,49,SOMOLO-MOLO (SAMOLO),F
671,24,SIDUA\ORI,F
672,48,SAWO,F
673,29,PURBA,F
674,38,AJIBATA,F
675,39,KOLANG,F
676,28,PAHAE JULU,F
677,25,PAKANTAN,F
678,39,BARUS UTARA,F
679,37,PADANG SIDEMPUAN HUTAIMBARU,F
680,28,SIPOHOLON,F
681,43,NAINGGOLAN,F
682,56,TANJUNG BALAI SELATAN,F
683,26,SIEMPAT NEMPU HILIR,F
684,39,SUKA BANGUN,F
685,45,BILAH HILIR,F
686,27,KUALUH HILIR,F
687,45,PANGKATAN,F
688,30,KUTAMBARU,F
689,54,RAMBUTAN,F
690,30,BRANDAN BARAT,F
691,52,MEDAN TUNTUNGAN,F
692,56,SEI TUALANG RASO,F
693,52,MEDAN DELI,F
694,41,SIBOLGA KOTA,F
695,52,MEDAN AREA,F
696,52,MEDAN KOTA,F
697,46,KUTALIMBARU,F
698,56,TANJUNG BALAI UTARA,F
699,53,SIEMPAT RUBE,F
700,53,KERAJAAN,F
701,30,BINJAI,F
702,52,MEDAN MARELAN,F
703,53,PAGINDAR,F
704,46,PATUMBAK,F
705,48,LAHEWA TIMUR,F
706,43,RONGGUR NIHUTA,F
707,40,PARANGINAN,F
708,40,BAKTI RAJA,F
709,29,PEMATANG SILIMA HUTA,F
710,44,SIANTAR MARIMBUN,F
711,40,TARA BINTANG,F
712,44,SIANTAR MARTOBA,F
713,28,PAHAE JAE,F
714,38,SIANTAR NARUMONDA,F
715,33,TINGGI RAJA,F
716,52,MEDAN PERJUANGAN,F
717,33,RAWANG PANCA ARGA,F
718,41,SIBOLGA SAMBAS,F
719,26,SITINJO,F
720,26,SILAHI SABUNGAN,F
721,39,SARUDIK,F
722,52,MEDAN PETISAH,F
723,33,SEI KEPAYANG TIMUR,F
724,45,PANAI HILIR,F
725,33,SEI KEPAYANG BARAT,F
726,57,KOTO BESAR,F
727,58,SANGIR BATANG HARI,F
728,59,KAMANG BARU,F
729,60,SEI BEREMAS,F
730,61,GUNUNG TALANG,F
731,61,LEMBAH GUMANTI,F
732,60,PASAMAN,F
733,61,PAYUNG SEKAKI,F
734,62,LUBUK SIKAPING,F
735,63,PARIAMAN TIMUR,F
736,64,SEPULUH KOTO (X KOTO),F
737,59,SIJUNJUNG,F
738,65,LUBUK ALUNG,F
739,66,LINGGO SARI BAGANTI,F
740,66,SILAUT,F
741,67,PADANG SELATAN,F
742,68,LEMBAH SEGAR,F
743,67,KOTO TANGAH,F
744,67,PADANG UTARA,F
745,62,SIMPANG ALAHAN MATI,F
746,57,ASAM JUJUHAN,F
747,63,PARIAMAN TENGAH,F
748,58,PAUH DUO,F
749,57,KOTO BARU,F
750,57,KOTO SALAK,F
751,69,LAREH SAGO HALABAN,F
752,63,PARIAMAN UTARA,F
753,70,IV ANGKAT CANDUNG (AMPEK ANGKEK),F
754,66,KOTO XI TARUSAN,F
755,66,IV JURAI,F
756,66,BASA AMPEK BALAI TAPAN,F
757,67,KURANJI,F
758,71,PAYAKUMBUH SELATAN,F
759,70,PALEMBAYAN,F
760,66,SUTERA,F
761,67,PADANG TIMUR,F
762,64,SUNGAYANG,F
763,64,BATIPUH,F
764,69,LUAK (LUHAK),F
765,69,SULIKI,F
766,65,2 X 11 KAYU TANAM,F
767,66,BAYANG,F
768,61,X KOTO SINGKARAK,F
769,61,LUBUK SIKARAH,F
770,64,PADANG GANTING,F
771,72,AUR BIRUGO TIGO BALEH,F
772,72,GUGUK PANJANG (GUGUAK PANJANG),F
773,65,VII KOTO SUNGAI SARIK,F
774,65,IV KOTO AUR MALINTANG,F
775,71,PAYAKUMBUH UTARA,F
776,71,PAYAKUMBUH TIMUR,F
777,68,BARANGIN,F
778,63,PARIAMAN SELATAN,F
779,71,PAYAKUMBUH BARAT,F
780,64,LINTAU BUO UTARA,F
781,73,PADANG PANJANG BARAT,F
782,64,RAMBATAN,F
783,70,IV KOTO (AMPEK KOTO),F
784,57,SEMBILAN KOTO (IX KOTO),F
785,67,LUBUK KILANGAN,F
786,69,BUKIK BARISAN,F
787,67,LUBUK BEGALUNG,F
788,64,LIMA KAUM,F
789,64,TANJUNG BARU,F
790,70,SUNGAI PUA (PUAR),F
791,60,RANAH BATAHAN,F
792,61,LEMBANG JAYA,F
793,69,HARAU,F
794,61,TIGO LURAH,F
795,64,PARIANGAN,F
796,65,SUNGAI GERINGGING / GARINGGING,F
797,69,AKABILURU,F
798,65,PADANG SAGO,F
799,70,AMPEK NAGARI (IV NAGARI ),F
800,59,KUPITAN,F
801,57,PADANG LAWEH,F
802,64,BATIPUH SELATAN,F
803,68,TALAWI,F
804,70,TANJUNG RAYA,F
805,67,PADANG BARAT,F
806,74,SIPORA SELATAN,F
807,74,SIPORA UTARA,F
808,74,PAGAI UTARA,F
809,58,SANGIR JUJUAN,F
810,66,RANAH AMPEK HULU TAPAN,F
811,62,TIGO NAGARI (III NAGARI),F
812,67,PAUH,F
813,74,SIBERUT UTARA,F
814,58,SUNGAI PAGU,F
815,65,BATANG ANAI,F
816,70,CANDUNG,F
817,61,IX KOTO SEI LASI,F
818,59,KOTO VII,F
819,61,X KOTO DIATAS,F
820,61,BUKIT SUNDI,F
821,74,PAGAI SELATAN,F
822,59,LUBUAK TAROK,F
823,70,BASO,F
824,67,BUNGUS TELUK KABUNG,F
825,64,LINTAU BUO,F
826,72,MANDIANGIN KOTO SELAYAN,F
827,65,V KOTO KAMPUNG DALAM,F
828,74,SIBERUT TENGAH,F
829,70,BANUHAMPU,F
830,62,DUO KOTO (II KOTO),F
831,66,AIRPURA,F
832,69,KAPUR IX / SEMBILAN,F
833,73,PADANG PANJANG TIMUR,F
834,57,PULAU PUNJUNG,F
835,65,ENAM LINGKUNG,F
836,70,TILATANG KAMANG,F
837,62,BONJOL,F
838,61,KUBUNG,F
