id,id_kecamatan,kelurahan_desa,kode_pos,deleted
64,35,ALUE BILI GEULUMPANG,24392,F
65,35,ALUE BILI RAYEUK,24392,F
66,50,ALUE BILI,24376,F
67,47,ALUE BILIE,23662,F
68,51,ALUE BILIE,23682,F
69,52,ALUE BLANG,23654,F
70,53,ALUE BU ALUE LHOK,24453,F
71,53,ALUE BU ALUE NIREH,24453,F
72,54,ALUE BU JALAN BAROH,24453,F
73,54,ALUE BU JALAN,24453,F
74,54,ALUE BU TUHA,24453,F
75,54,ALUE BU TUNONG,24453,F
76,53,ALUE BUGENG,24453,F
77,6,ALUE BUKET,24382,F
78,55,ALUE BULOH DUA,24458,F
79,55,ALUE BULOH SATU,24458,F
80,56,ALUE BULOH,23671,F
81,13,ALUE BULOH / BALOH,24452,F
82,57,ALUE BUMAN,24385,F
83,58,ALUE BUNGKOH,24386,F
84,5,ALUE BUYA PASI,24261,F
85,35,ALUE BUYA,24392,F
86,5,ALUE BUYA,24261,F
87,59,ALUE CALONG,24166,F
88,43,ALUE CAMPLI,24393,F
89,13,ALUE CANANG,24452,F
90,60,ALUE CANTEK,24472,F
91,61,ALUE CEK DOI,24457,F
92,62,ALUE DALAM,24455,F
93,35,ALUE DAMA,24392,F
94,63,ALUE DAMA,23763,F
95,64,ALUE DEAH TEUNGOH (ALUE DEYAH TENGOH),23232,F
96,56,ALUE DODOK,23671,F
